"","County","State","Year","Income_per_Capita","Unit","Multiplier"
"54","Bent","CO",2005,21585,"Dollars",0
"55","Bent","CO",2004,20791,"Dollars",0
"56","Bent","CO",2015,24592,"Dollars",0
"57","Bent","CO",2014,24060,"Dollars",0
"58","Bent","CO",2013,23303,"Dollars",0
"59","Bent","CO",2012,23159,"Dollars",0
"60","Bent","CO",2011,22420,"Dollars",0
"61","Chaffee","CO",2014,38969,"Dollars",0
"62","Chaffee","CO",2013,35498,"Dollars",0
"63","Chaffee","CO",2012,34096,"Dollars",0
"64","Chaffee","CO",2011,33213,"Dollars",0
"65","Chaffee","CO",2010,31087,"Dollars",0
"66","Chaffee","CO",2009,30722,"Dollars",0
"67","Chaffee","CO",2008,30690,"Dollars",0
"68","Chaffee","CO",2007,29831,"Dollars",0
